Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,3.2e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH4,CH4 Peak Detect
-1.96125e-02,1.76,1.84
-1.96122e-02,1.76,1.76
-1.96118e-02,1.8,1.84
-1.96115e-02,1.76,1.76
-1.96112e-02,1.76,1.8
-1.96109e-02,1.76,1.72
-1.96106e-02,1.8,1.84
-1.96102e-02,1.76,1.76
-1.96099e-02,1.8,1.84
-1.96096e-02,1.8,1.76
-1.96093e-02,1.8,1.84
-1.96090e-02,1.8,1.72
-1.96086e-02,1.8,1.84
-1.96083e-02,1.8,1.76
-1.96080e-02,1.8,1.8
-1.96077e-02,1.76,1.76
-1.96074e-02,1.8,1.84
-1.96070e-02,1.76,1.76
-1.96067e-02,1.76,1.84
-1.96064e-02,1.8,1.76
-1.96061e-02,1.76,1.84
-1.96058e-02,1.8,1.76
-1.96054e-02,1.8,1.8
-1.96051e-02,1.76,1.76
-1.96048e-02,1.76,1.84
-1.96045e-02,1.76,1.76
-1.96042e-02,1.76,1.8
-1.96038e-02,1.76,1.72
-1.96035e-02,1.76,1.8
-1.96032e-02,1.76,1.76
-1.96029e-02,1.8,1.84
-1.96026e-02,1.76,1.76
-1.96022e-02,1.8,1.8
-1.96019e-02,1.8,1.76
-1.96016e-02,1.76,1.84
-1.96013e-02,1.76,1.76
-1.96010e-02,1.8,1.84
-1.96006e-02,1.76,1.76
-1.96003e-02,1.8,1.8
-1.96000e-02,1.8,1.76
-1.95997e-02,1.76,1.8
-1.95994e-02,1.8,1.76
-1.95990e-02,1.76,1.8
-1.95987e-02,1.76,1.72
-1.95984e-02,1.8,1.8
-1.95981e-02,1.8,1.72
-1.95978e-02,1.8,1.84
-1.95974e-02,1.76,1.76
-1.95971e-02,1.76,1.84
-1.95968e-02,1.76,1.72
-1.95965e-02,1.8,1.84
-1.95962e-02,1.8,1.76
-1.95958e-02,1.8,1.84
-1.95955e-02,1.76,1.76
-1.95952e-02,1.76,1.8
-1.95949e-02,1.8,1.72
-1.95946e-02,1.76,1.84
-1.95942e-02,1.8,1.76
-1.95939e-02,1.8,1.84
-1.95936e-02,1.76,1.72
-1.95933e-02,1.76,1.84
-1.95930e-02,1.76,1.76
-1.95926e-02,1.8,1.84
-1.95923e-02,1.76,1.72
-1.95920e-02,1.8,1.8
-1.95917e-02,1.76,1.76
-1.95914e-02,1.76,1.8
-1.95910e-02,1.76,1.76
-1.95907e-02,1.8,1.8
-1.95904e-02,1.76,1.72
-1.95901e-02,1.8,1.84
-1.95898e-02,1.8,1.76
-1.95894e-02,1.8,1.84
-1.95891e-02,1.76,1.76
-1.95888e-02,1.8,1.84
-1.95885e-02,1.8,1.76
-1.95882e-02,1.76,1.8
-1.95878e-02,1.8,1.76
-1.95875e-02,1.76,1.84
-1.95872e-02,1.8,1.76
-1.95869e-02,1.76,1.84
-1.95866e-02,1.8,1.72
-1.95862e-02,1.76,1.84
-1.95859e-02,1.76,1.76
-1.95856e-02,1.76,1.8
-1.95853e-02,1.8,1.72
-1.95850e-02,1.76,1.84
-1.95846e-02,1.8,1.72
-1.95843e-02,1.76,1.84
-1.95840e-02,1.76,1.76
-1.95837e-02,1.8,1.8
-1.95834e-02,1.8,1.76
-1.95830e-02,1.76,1.84
-1.95827e-02,1.76,1.76
-1.95824e-02,1.76,1.84
-1.95821e-02,1.76,1.76
-1.95818e-02,1.76,1.84
-1.95814e-02,1.8,1.76
-1.95811e-02,1.8,1.8
-1.95808e-02,1.76,1.76
-1.95805e-02,1.8,1.84
-1.95802e-02,1.8,1.76
-1.95798e-02,1.76,1.84
-1.95795e-02,1.8,1.76
-1.95792e-02,1.8,1.84
-1.95789e-02,1.8,1.76
-1.95786e-02,1.76,1.84
-1.95782e-02,1.76,1.76
-1.95779e-02,1.8,1.84
-1.95776e-02,1.8,1.76
-1.95773e-02,1.76,1.84
-1.95770e-02,1.8,1.76
-1.95766e-02,1.8,1.84
-1.95763e-02,1.8,1.76
-1.95760e-02,1.76,1.84
-1.95757e-02,1.76,1.76
-1.95754e-02,1.8,1.84
-1.95750e-02,1.8,1.76
-1.95747e-02,1.76,1.84
-1.95744e-02,1.8,1.76
-1.95741e-02,1.8,1.84
-1.95738e-02,1.76,1.76
-1.95734e-02,1.8,1.84
-1.95731e-02,1.8,1.76
-1.95728e-02,1.76,1.84
-1.95725e-02,1.8,1.76
-1.95722e-02,1.8,1.8
-1.95718e-02,1.8,1.72
-1.95715e-02,1.8,1.84
-1.95712e-02,1.76,1.76
-1.95709e-02,1.76,1.84
-1.95706e-02,1.76,1.76
-1.95702e-02,1.8,1.84
-1.95699e-02,1.8,1.72
-1.95696e-02,1.8,1.84
-1.95693e-02,1.76,1.76
-1.95690e-02,1.8,1.84
-1.95686e-02,1.76,1.76
-1.95683e-02,1.8,1.8
-1.95680e-02,1.76,1.72
-1.95677e-02,1.76,1.8
